Freq.	V(d5+)	V(d5u)
1.52054752973248e+000	(-5.40816203146925e+001dB,9.35161029685413e-004°)	(-6.11477735593816e+001dB,9.28174155117893e-004°)
1.52405275379728e+000	(-5.40816203146949e+001dB,9.37316798500888e-004°)	(-6.11477735593768e+001dB,9.30313817522842e-004°)
1.52756605823806e+000	(-5.40816203147130e+001dB,9.39477536877894e-004°)	(-6.11477735593710e+001dB,9.32458412358989e-004°)
1.53108746168202e+000	(-5.40816203147076e+001dB,9.41643256268822e-004°)	(-6.11477735593657e+001dB,9.34607950996833e-004°)
1.53461698279928e+000	(-5.40816203146866e+001dB,9.43813968156939e-004°)	(-6.11477735593613e+001dB,9.36762444833047e-004°)
1.53815464030302e+000	(-5.40816203146967e+001dB,9.45989684055813e-004°)	(-6.11477735593564e+001dB,9.38921905290454e-004°)
1.54170045294954e+000	(-5.40816203146834e+001dB,9.48170415495611e-004°)	(-6.11477735593505e+001dB,9.41086343818294e-004°)
1.54525443953840e+000	(-5.40816203146702e+001dB,9.50356174040195e-004°)	(-6.11477735593446e+001dB,9.43255771892233e-004°)
1.54881661891247e+000	(-5.40816203146646e+001dB,9.52546971279515e-004°)	(-6.11477735593392e+001dB,9.45430201014407e-004°)
1.55238700995807e+000	(-5.40816203146513e+001dB,9.54742818828645e-004°)	(-6.11477735593338e+001dB,9.47609642713387e-004°)
1.55596563160506e+000	(-5.40816203146613e+001dB,9.56943728329691e-004°)	(-6.11477735593273e+001dB,9.49794108544304e-004°)
1.55955250282694e+000	(-5.40816203146636e+001dB,9.59149711451173e-004°)	(-6.11477735593223e+001dB,9.51983610089107e-004°)
1.56314764264094e+000	(-5.40816203146345e+001dB,9.61360779884918e-004°)	(-6.11477735593163e+001dB,9.54178158956188e-004°)
1.56675107010813e+000	(-5.40816203146289e+001dB,9.63576945361501e-004°)	(-6.11477735593121e+001dB,9.56377766780987e-004°)
1.57036280433354e+000	(-5.40816203146388e+001dB,9.65798219628182e-004°)	(-6.11477735593061e+001dB,9.58582445225386e-004°)
1.57398286446620e+000	(-5.40816203146409e+001dB,9.68024614459935e-004°)	(-6.11477735593010e+001dB,9.60792205978545e-004°)
1.57761126969933e+000	(-5.40816203146196e+001dB,9.70256141659248e-004°)	(-6.11477735592948e+001dB,9.63007060756269e-004°)
1.58124803927037e+000	(-5.40816203146138e+001dB,9.72492813061644e-004°)	(-6.11477735592896e+001dB,9.65227021301616e-004°)
1.58489319246110e+000	(-5.40816203146159e+001dB,9.74734640525451e-004°)	(-6.11477735592830e+001dB,9.67452099384459e-004°)
1.58854674859776e+000	(-5.40816203146101e+001dB,9.76981635933962e-004°)	(-6.11477735592777e+001dB,9.69682306802103e-004°)
1.59220872705115e+000	(-5.40816203146042e+001dB,9.79233811202270e-004°)	(-6.11477735592720e+001dB,9.71917655378784e-004°)
1.59587914723672e+000	(-5.40816203145906e+001dB,9.81491178270082e-004°)	(-6.11477735592662e+001dB,9.74158156966111e-004°)
1.59955802861465e+000	(-5.40816203146081e+001dB,9.83753749108913e-004°)	(-6.11477735592609e+001dB,9.76403823443035e-004°)
1.60324539069002e+000	(-5.40816203145710e+001dB,9.86021535707099e-004°)	(-6.11477735592545e+001dB,9.78654666715775e-004°)
1.60694125301286e+000	(-5.40816203145885e+001dB,9.88294550098777e-004°)	(-6.11477735592482e+001dB,9.80910698718137e-004°)
